key,name,file,line,type
1,InitializeVariables,tools/benchmark/benchmark_model.cc,54,function
2,CreateTensorsFromInputInfo,tools/benchmark/benchmark_model.cc,75,function
3,GetOutputShapes,tools/benchmark/benchmark_model.cc,117,function
4,CalculateFlops,tools/benchmark/benchmark_model.cc,149,function
5,RecordBenchmarkEntry,tools/benchmark/benchmark_model.cc,215,function
6,SleepSeconds,tools/benchmark/benchmark_model.cc,232,function
7,InitializeSession,tools/benchmark/benchmark_model.cc,249,function
8,RunBenchmark,tools/benchmark/benchmark_model.cc,284,function
9,TimeMultipleRuns,tools/benchmark/benchmark_model.cc,321,function
10,Main,tools/benchmark/benchmark_model.cc,368,function
11,CreateTestGraph,tools/benchmark/benchmark_model_test.cc,29,function
12,TEST,tools/benchmark/benchmark_model_test.cc,50,function
